[Testování Temporary Voice Kanálů] | [verify] | [Danix25#8367] @ 2021-05-23 15:14:41.443000: !bal
[Testování Temporary Voice Kanálů] | [welcome] | [Danix25#8367] @ 2021-05-23 17:30:42.186000: !new Ticket
[Testování Temporary Voice Kanálů] | [ticket-1] | [TemporaryVoice#2907] @ 2021-05-23 17:30:43.192000: 
[Testování Temporary Voice Kanálů] | [ticket-1] | [TemporaryVoice#2907] @ 2021-05-23 17:30:43.192000: 
[Testování Temporary Voice Kanálů] | [welcome] | [TemporaryVoice#2907] @ 2021-05-23 17:30:43.312000: 
[Testování Temporary Voice Kanálů] | [welcome] | [TemporaryVoice#2907] @ 2021-05-23 17:30:43.312000: 
[Testování Temporary Voice Kanálů] | [ticket-1] | [Danix25#8367] @ 2021-05-23 17:32:19.200000: !close
[Testování Temporary Voice Kanálů] | [ticket-1] | [Danix25#8367] @ 2021-05-23 17:32:19.200000: !close
[Testování Temporary Voice Kanálů] | [ticket-1] | [TemporaryVoice#2907] @ 2021-05-23 17:32:19.485000: 
[Testování Temporary Voice Kanálů] | [ticket-1] | [TemporaryVoice#2907] @ 2021-05-23 17:32:19.485000: 
[Testování Temporary Voice Kanálů] | [ticket-1] | [Danix25#8367] @ 2021-05-23 17:32:22.041000: close
[Testování Temporary Voice Kanálů] | [ticket-1] | [Danix25#8367] @ 2021-05-23 17:32:22.041000: close
[Testování Temporary Voice Kanálů] | [reaction-role] | [Danix25#8367] @ 2021-05-23 17:32:34.201000: !new Nahlášení hráče
[Testování Temporary Voice Kanálů] | [reaction-role] | [Danix25#8367] @ 2021-05-23 17:32:34.201000: !new Nahlášení hráče
[Testování Temporary Voice Kanálů] | [ticket-2] | [TemporaryVoice#2907] @ 2021-05-23 17:32:34.923000: 
[Testování Temporary Voice Kanálů] | [ticket-2] | [TemporaryVoice#2907] @ 2021-05-23 17:32:34.923000: 
[Testování Temporary Voice Kanálů] | [reaction-role] | [TemporaryVoice#2907] @ 2021-05-23 17:32:35.150000: 
[Testování Temporary Voice Kanálů] | [reaction-role] | [TemporaryVoice#2907] @ 2021-05-23 17:32:35.150000: 
[Testování Temporary Voice Kanálů] | [ticket-2] | [Danix25#8367] @ 2021-05-23 17:32:49.204000: !addrole
[Testování Temporary Voice Kanálů] | [ticket-2] | [Danix25#8367] @ 2021-05-23 17:32:49.204000: !addrole
[Testování Temporary Voice Kanálů] | [ticket-2] | [TemporaryVoice#2907] @ 2021-05-23 17:32:49.504000: Neznámý příkaz
[Testování Temporary Voice Kanálů] | [ticket-2] | [Danix25#8367] @ 2021-05-23 17:32:53.082000: !ping
[Testování Temporary Voice Kanálů] | [ticket-2] | [Danix25#8367] @ 2021-05-23 17:32:53.082000: !ping
[Testování Temporary Voice Kanálů] | [ticket-2] | [TemporaryVoice#2907] @ 2021-05-23 17:32:53.328000: Odezva: 135ms
[Testování Temporary Voice Kanálů] | [ticket-2] | [TemporaryVoice#2907] @ 2021-05-23 17:32:53.328000: Odezva: 135ms
[Testování Temporary Voice Kanálů] | [ticket-2] | [Danix25#8367] @ 2021-05-23 17:32:57.763000: !clear 100
[Testování Temporary Voice Kanálů] | [ticket-2] | [Danix25#8367] @ 2021-05-23 17:32:57.763000: !clear 100
[Testování Temporary Voice Kanálů] | [ticket-2] | [TemporaryVoice#2907] @ 2021-05-23 17:32:58.374000: Bylo smazáno **100** zpráv. Uživatelem **Danix25#8367**
[Testování Temporary Voice Kanálů] | [ticket-2] | [TemporaryVoice#2907] @ 2021-05-23 17:32:58.374000: Bylo smazáno **100** zpráv. Uživatelem **Danix25#8367**
[Testování Temporary Voice Kanálů] | [ticket-2] | [Danix25#8367] @ 2021-05-23 17:33:03.029000: !close
[Testování Temporary Voice Kanálů] | [ticket-2] | [Danix25#8367] @ 2021-05-23 17:33:03.029000: !close
[Testování Temporary Voice Kanálů] | [ticket-2] | [TemporaryVoice#2907] @ 2021-05-23 17:33:03.246000: 
[Testování Temporary Voice Kanálů] | [ticket-2] | [TemporaryVoice#2907] @ 2021-05-23 17:33:03.246000: 
[Testování Temporary Voice Kanálů] | [ticket-2] | [Danix25#8367] @ 2021-05-23 17:33:04.445000: close
[Testování Temporary Voice Kanálů] | [ticket-2] | [Danix25#8367] @ 2021-05-23 17:33:04.445000: close
[Testování Temporary Voice Kanálů] | [reaction-role] | [Danix25#8367] @ 2021-05-23 17:33:22.561000: !add <#845973180567912467> Byl jsi napálen
[Testování Temporary Voice Kanálů] | [reaction-role] | [TemporaryVoice#2907] @ 2021-05-23 17:33:22.999000: 
[Testování Temporary Voice Kanálů] | [reaction-role] | [TemporaryVoice#2907] @ 2021-05-23 17:33:22.999000: 
[Testování Temporary Voice Kanálů] | [reaction-role] | [TemporaryVoice#2907] @ 2021-05-23 17:33:25.041000: Byl jsi napálen
[Testování Temporary Voice Kanálů] | [reaction-role] | [TemporaryVoice#2907] @ 2021-05-23 17:33:25.250000: <@798816012027559936> registrace je dokončena.
[Testování Temporary Voice Kanálů] | [reaction-role] | [TemporaryVoice#2907] @ 2021-05-23 17:33:25.250000: <@798816012027559936> registrace je dokončena.
[Testování Temporary Voice Kanálů] | [reaction-role] | [Danix25#8367] @ 2021-05-23 17:36:48.872000: !help
[Testování Temporary Voice Kanálů] | [reaction-role] | [Danix25#8367] @ 2021-05-23 17:36:48.872000: !help
[Testování Temporary Voice Kanálů] | [reaction-role] | [TemporaryVoice#2907] @ 2021-05-23 17:36:49.071000: 
[Testování Temporary Voice Kanálů] | [reaction-role] | [TemporaryVoice#2907] @ 2021-05-23 17:36:49.071000: 
[Testování Temporary Voice Kanálů] | [reaction-role] | [Danix25#8367] @ 2021-05-23 17:41:13.832000: a
[Testování Temporary Voice Kanálů] | [reaction-role] | [Danix25#8367] @ 2021-05-23 17:41:13.832000: a
[Testování Temporary Voice Kanálů] | [reaction-role] | [Danix25#8367] @ 2021-05-23 17:41:14.293000: a
[Testování Temporary Voice Kanálů] | [reaction-role] | [Danix25#8367] @ 2021-05-23 17:41:14.293000: a
[Testování Temporary Voice Kanálů] | [reaction-role] | [Danix25#8367] @ 2021-05-23 17:41:14.609000: a
[Testování Temporary Voice Kanálů] | [reaction-role] | [Danix25#8367] @ 2021-05-23 17:41:14.609000: a
[Testování Temporary Voice Kanálů] | [reaction-role] | [Danix25#8367] @ 2021-05-23 17:41:14.935000: a
[Testování Temporary Voice Kanálů] | [reaction-role] | [Danix25#8367] @ 2021-05-23 17:41:14.935000: a
[Testování Temporary Voice Kanálů] | [reaction-role] | [Danix25#8367] @ 2021-05-23 17:41:15.137000: a
[Testování Temporary Voice Kanálů] | [reaction-role] | [Danix25#8367] @ 2021-05-23 17:41:15.137000: a
[Testování Temporary Voice Kanálů] | [reaction-role] | [Danix25#8367] @ 2021-05-23 17:41:15.405000: a
[Testování Temporary Voice Kanálů] | [reaction-role] | [Danix25#8367] @ 2021-05-23 17:41:15.405000: a
[Testování Temporary Voice Kanálů] | [reaction-role] | [Danix25#8367] @ 2021-05-23 17:41:15.807000: a
[Testování Temporary Voice Kanálů] | [reaction-role] | [Danix25#8367] @ 2021-05-23 17:41:15.807000: a
[Testování Temporary Voice Kanálů] | [reaction-role] | [Danix25#8367] @ 2021-05-23 17:41:16.017000: aa
[Testování Temporary Voice Kanálů] | [reaction-role] | [Danix25#8367] @ 2021-05-23 17:41:16.163000: a
[Testování Temporary Voice Kanálů] | [reaction-role] | [Danix25#8367] @ 2021-05-23 17:41:16.163000: a
[Testování Temporary Voice Kanálů] | [reaction-role] | [Danix25#8367] @ 2021-05-23 17:41:16.463000: a
[Testování Temporary Voice Kanálů] | [reaction-role] | [Danix25#8367] @ 2021-05-23 17:41:23.976000: a
[Testování Temporary Voice Kanálů] | [reaction-role] | [Danix25#8367] @ 2021-05-23 17:41:23.976000: a
[Testování Temporary Voice Kanálů] | [reaction-role] | [Danix25#8367] @ 2021-05-23 17:41:24.223000: !level
[Testování Temporary Voice Kanálů] | [reaction-role] | [Danix25#8367] @ 2021-05-23 17:41:24.223000: !level
[Testování Temporary Voice Kanálů] | [reaction-role] | [Danix25#8367] @ 2021-05-23 17:41:53.151000: !level
[Testování Temporary Voice Kanálů] | [reaction-role] | [Danix25#8367] @ 2021-05-23 17:41:53.151000: !level
[Testování Temporary Voice Kanálů] | [reaction-role] | [Danix25#8367] @ 2021-05-23 17:41:58.514000: !levelleaderboard
[Testování Temporary Voice Kanálů] | [reaction-role] | [Danix25#8367] @ 2021-05-23 17:41:58.514000: !levelleaderboard
[Testování Temporary Voice Kanálů] | [reaction-role] | [Danix25#8367] @ 2021-05-23 17:42:01.558000: !help
[Testování Temporary Voice Kanálů] | [reaction-role] | [Danix25#8367] @ 2021-05-23 17:42:01.558000: !help
[Testování Temporary Voice Kanálů] | [reaction-role] | [TemporaryVoice#2907] @ 2021-05-23 17:42:01.801000: 
[Testování Temporary Voice Kanálů] | [reaction-role] | [TemporaryVoice#2907] @ 2021-05-23 17:42:01.801000: 
[Testování Temporary Voice Kanálů] | [reaction-role] | [Danix25#8367] @ 2021-05-23 17:42:04.300000: !meme
[Testování Temporary Voice Kanálů] | [reaction-role] | [Danix25#8367] @ 2021-05-23 17:42:04.300000: !meme
[Testování Temporary Voice Kanálů] | [reaction-role] | [TemporaryVoice#2907] @ 2021-05-23 17:42:05.599000: 
[Testování Temporary Voice Kanálů] | [reaction-role] | [TemporaryVoice#2907] @ 2021-05-23 17:42:05.599000: 
[Testování Temporary Voice Kanálů] | [reaction-role] | [Danix25#8367] @ 2021-05-23 17:59:06.210000: !play
[Testování Temporary Voice Kanálů] | [reaction-role] | [Danix25#8367] @ 2021-05-23 17:59:06.210000: !play
[Testování Temporary Voice Kanálů] | [reaction-role] | [Danix25#8367] @ 2021-05-23 17:59:22.054000: !play https://www.youtube.com/watch?v=LaQj636PJh0
[Testování Temporary Voice Kanálů] | [reaction-role] | [Danix25#8367] @ 2021-05-23 17:59:22.054000: !play https://www.youtube.com/watch?v=LaQj636PJh0
[Testování Temporary Voice Kanálů] | [reaction-role] | [TemporaryVoice#2907] @ 2021-05-23 17:59:22.562000: **Please Join A Voice Channel To Play Music**
[Testování Temporary Voice Kanálů] | [reaction-role] | [TemporaryVoice#2907] @ 2021-05-23 17:59:22.562000: **Please Join A Voice Channel To Play Music**
[Testování Temporary Voice Kanálů] | [reaction-role] | [Danix25#8367] @ 2021-05-23 17:59:29.903000: https://www.youtube.com/watch?v=LaQj636PJh0
[Testování Temporary Voice Kanálů] | [reaction-role] | [Danix25#8367] @ 2021-05-23 17:59:29.903000: https://www.youtube.com/watch?v=LaQj636PJh0
[Testování Temporary Voice Kanálů] | [reaction-role] | [Danix25#8367] @ 2021-05-23 17:59:35.613000: !play https://www.youtube.com/watch?v=LaQj636PJh0
[Testování Temporary Voice Kanálů] | [reaction-role] | [Danix25#8367] @ 2021-05-23 17:59:35.613000: !play https://www.youtube.com/watch?v=LaQj636PJh0
[Testování Temporary Voice Kanálů] | [reaction-role] | [Danix25#8367] @ 2021-05-23 17:59:46.271000: !play https://www.youtube.com/watch?v=LaQj636PJh0
[Testování Temporary Voice Kanálů] | [reaction-role] | [TemporaryVoice#2907] @ 2021-05-23 17:59:46.425000: **Please Join A Voice Channel To Play Music**
[Testování Temporary Voice Kanálů] | [reaction-role] | [Danix25#8367] @ 2021-05-23 17:59:46.271000: !play https://www.youtube.com/watch?v=LaQj636PJh0
[Testování Temporary Voice Kanálů] | [reaction-role] | [TemporaryVoice#2907] @ 2021-05-23 17:59:46.425000: **Please Join A Voice Channel To Play Music**
[Testování Temporary Voice Kanálů] | [reaction-role] | [Danix25#8367] @ 2021-05-23 17:59:59.083000: https://www.youtube.com/watch?v=LaQj636PJh0
[Testování Temporary Voice Kanálů] | [reaction-role] | [Danix25#8367] @ 2021-05-23 17:59:59.083000: https://www.youtube.com/watch?v=LaQj636PJh0
[Testování Temporary Voice Kanálů] | [reaction-role] | [Danix25#8367] @ 2021-05-23 18:00:01.935000: !play https://www.youtube.com/watch?v=LaQj636PJh0
[Testování Temporary Voice Kanálů] | [reaction-role] | [Danix25#8367] @ 2021-05-23 18:00:01.935000: !play https://www.youtube.com/watch?v=LaQj636PJh0
[Testování Temporary Voice Kanálů] | [reaction-role] | [Danix25#8367] @ 2021-05-23 18:05:38.517000: !play https://www.youtube.com/watch?v=LaQj636PJh0
[Testování Temporary Voice Kanálů] | [reaction-role] | [Danix25#8367] @ 2021-05-23 18:05:38.517000: !play https://www.youtube.com/watch?v=LaQj636PJh0
[Testování Temporary Voice Kanálů] | [reaction-role] | [TemporaryVoice#2907] @ 2021-05-23 18:05:38.726000: An error occurred: Command raised an exception: RuntimeError: PyNaCl library needed in order to use voice
[Testování Temporary Voice Kanálů] | [reaction-role] | [TemporaryVoice#2907] @ 2021-05-23 18:05:38.726000: An error occurred: Command raised an exception: RuntimeError: PyNaCl library needed in order to use voice
[Testování Temporary Voice Kanálů] | [reaction-role] | [Danix25#8367] @ 2021-05-23 18:06:22.720000: !play https://www.youtube.com/watch?v=LaQj636PJh0
[Testování Temporary Voice Kanálů] | [reaction-role] | [Danix25#8367] @ 2021-05-23 18:06:22.720000: !play https://www.youtube.com/watch?v=LaQj636PJh0
[Testování Temporary Voice Kanálů] | [reaction-role] | [TemporaryVoice#2907] @ 2021-05-23 18:06:22.914000: An error occurred: Command raised an exception: RuntimeError: PyNaCl library needed in order to use voice
[Testování Temporary Voice Kanálů] | [reaction-role] | [TemporaryVoice#2907] @ 2021-05-23 18:06:22.914000: An error occurred: Command raised an exception: RuntimeError: PyNaCl library needed in order to use voice
[Testování Temporary Voice Kanálů] | [reaction-role] | [Danix25#8367] @ 2021-05-23 18:07:44.382000: !join
[Testování Temporary Voice Kanálů] | [reaction-role] | [Danix25#8367] @ 2021-05-23 18:07:44.382000: !join
[Testování Temporary Voice Kanálů] | [reaction-role] | [TemporaryVoice#2907] @ 2021-05-23 18:07:44.571000: An error occurred: Command raised an exception: RuntimeError: PyNaCl library needed in order to use voice
[Testování Temporary Voice Kanálů] | [reaction-role] | [TemporaryVoice#2907] @ 2021-05-23 18:07:44.571000: An error occurred: Command raised an exception: RuntimeError: PyNaCl library needed in order to use voice
[Testování Temporary Voice Kanálů] | [reaction-role] | [Danix25#8367] @ 2021-05-23 18:09:21.296000: !play https://www.youtube.com/watch?v=LaQj636PJh0
[Testování Temporary Voice Kanálů] | [reaction-role] | [TemporaryVoice#2907] @ 2021-05-23 18:09:21.572000: An error occurred: Command raised an exception: RuntimeError: PyNaCl library needed in order to use voice
[Testování Temporary Voice Kanálů] | [reaction-role] | [TemporaryVoice#2907] @ 2021-05-23 18:09:21.572000: An error occurred: Command raised an exception: RuntimeError: PyNaCl library needed in order to use voice
[Testování Temporary Voice Kanálů] | [reaction-role] | [Danix25#8367] @ 2021-05-23 18:15:48.858000: !play https://www.youtube.com/watch?v=LaQj636PJh0
YouTube
[Testování Temporary Voice Kanálů] | [reaction-role] | [Danix25#8367] @ 2021-05-23 18:15:48.858000: !play https://www.youtube.com/watch?v=LaQj636PJh0
YouTube
[Testování Temporary Voice Kanálů] | [reaction-role] | [TemporaryVoice#2907] @ 2021-05-23 18:15:49.154000: Neznámý příkaz
[Testování Temporary Voice Kanálů] | [reaction-role] | [TemporaryVoice#2907] @ 2021-05-23 18:15:49.154000: Neznámý příkaz
[Testování Temporary Voice Kanálů] | [reaction-role] | [Danix25#8367] @ 2021-05-23 18:16:06.619000: !play https://www.youtube.com/watch?v=LaQj636PJh0
[Testování Temporary Voice Kanálů] | [reaction-role] | [Danix25#8367] @ 2021-05-23 18:16:06.619000: !play https://www.youtube.com/watch?v=LaQj636PJh0
[Testování Temporary Voice Kanálů] | [reaction-role] | [TemporaryVoice#2907] @ 2021-05-23 18:16:06.881000: Neznámý příkaz
[Testování Temporary Voice Kanálů] | [reaction-role] | [TemporaryVoice#2907] @ 2021-05-23 18:16:06.881000: Neznámý příkaz
[Testování Temporary Voice Kanálů] | [reaction-role] | [Danix25#8367] @ 2021-05-23 18:16:11.757000: !play_song https://www.youtube.com/watch?v=LaQj636PJh0
[Testování Temporary Voice Kanálů] | [reaction-role] | [TemporaryVoice#2907] @ 2021-05-23 18:16:12.080000: NOT AUTHORISED!
[Testování Temporary Voice Kanálů] | [reaction-role] | [Danix25#8367] @ 2021-05-23 18:16:48.214000: !play https://www.youtube.com/watch?v=LaQj636PJh0
[Testování Temporary Voice Kanálů] | [reaction-role] | [Danix25#8367] @ 2021-05-23 18:16:48.214000: !play https://www.youtube.com/watch?v=LaQj636PJh0
[Testování Temporary Voice Kanálů] | [reaction-role] | [TemporaryVoice#2907] @ 2021-05-23 18:16:48.409000: Neznámý příkaz
[Testování Temporary Voice Kanálů] | [reaction-role] | [TemporaryVoice#2907] @ 2021-05-23 18:16:48.409000: Neznámý příkaz
[Testování Temporary Voice Kanálů] | [reaction-role] | [Danix25#8367] @ 2021-05-23 18:16:53.521000: !play_song https://www.youtube.com/watch?v=LaQj636PJh0
[Testování Temporary Voice Kanálů] | [reaction-role] | [Danix25#8367] @ 2021-05-23 18:16:53.521000: !play_song https://www.youtube.com/watch?v=LaQj636PJh0
[Testování Temporary Voice Kanálů] | [reaction-role] | [TemporaryVoice#2907] @ 2021-05-23 18:17:07.402000: The bot is not connected to a voice channel.
[Testování Temporary Voice Kanálů] | [reaction-role] | [TemporaryVoice#2907] @ 2021-05-23 18:17:07.402000: The bot is not connected to a voice channel.
[Testování Temporary Voice Kanálů] | [reaction-role] | [Danix25#8367] @ 2021-05-23 18:17:13.922000: !join
[Testování Temporary Voice Kanálů] | [reaction-role] | [Danix25#8367] @ 2021-05-23 18:17:13.922000: !join
[Testování Temporary Voice Kanálů] | [reaction-role] | [Danix25#8367] @ 2021-05-23 18:17:53.886000: !join <@!845350653659709491>
[Testování Temporary Voice Kanálů] | [reaction-role] | [Danix25#8367] @ 2021-05-23 18:17:53.886000: !join <@!845350653659709491>
[Testování Temporary Voice Kanálů] | [reaction-role] | [Danix25#8367] @ 2021-05-23 18:17:56.911000: !leave
[Testování Temporary Voice Kanálů] | [reaction-role] | [Danix25#8367] @ 2021-05-23 18:17:59.991000: !stop
[Testování Temporary Voice Kanálů] | [reaction-role] | [Danix25#8367] @ 2021-05-23 18:18:32.206000: join
[Testování Temporary Voice Kanálů] | [reaction-role] | [Danix25#8367] @ 2021-05-23 18:18:32.206000: join
[Testování Temporary Voice Kanálů] | [reaction-role] | [Danix25#8367] @ 2021-05-23 18:18:38.328000: !join
